quarter_idx,feature,entropy,weight,direction,coefficient_for_direction
15,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,0.9950635019821547,0.02281131655190114,negative,-1.344897241949622
15,composite_营业利润_1年_增长率_x_mtr,0.9978138518800926,0.010102083827902926,positive,0.8974151545132548
15,composite_市销率PS_TTM_x_bm,0.9982339157574622,0.008160989140118745,negative,-1.744614005742208
15,composite_市盈率PE_TTM_x_itgr,0.9964286199097218,0.01650317319524679,negative,-0.8025658525991338
15,composite_净资产收益率_TTM_x_ep,0.9834763354389,0.0763550479587149,negative,-0.6765812150704504
16,composite_总市值_证监会算法_x_bm,0.9970794388776756,0.02030655007058979,negative,-2.607800978012734
16,composite_市净率PB_LF_x_bm,0.9982525662179882,0.012149840425603419,negative,-2.0011685879514265
16,composite_市净率PB_LF_x_svar,0.9982525662179882,0.012149840425603419,positive,2.8109583084200795
16,composite_市净率PB_LF_x_dp,0.9982525662179882,0.012149840425603419,positive,2.462413799486716
16,composite_净资产收益率_1年_增长率_x_bm,0.996360172595319,0.025307581093401425,negative,-1.4612271801562042
16,composite_营业外收支净额_利润总额_TTM_x_infl,0.9983230038197185,0.011660090467810911,negative,-1.1392939559374629
16,composite_市盈率PE_TTM_x_itgr,0.9965325005092697,0.024109391681629927,negative,-1.042973566925147
16,composite_营业利润_1年_增长率_x_de,0.9973765572162193,0.01824069759710111,positive,0.9412022173417188
16,composite_市净率PB_LF_x_ntis,0.9363375515813097,0.4426425752738873,negative,-1.8340399013537323
16,composite_营业利润_1年_增长率_x_mtr,0.9973765572162192,0.018240697597101882,positive,0.8907879578685128
16,composite_销售毛利率_TTM_x_de,0.978191073224742,0.15163663590616341,negative,-0.8385835599222862
16,composite_销售毛利率_TTM_x_svar,0.978191073224742,0.15163663590616341,negative,-0.7772923371185894
16,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,0.9956975248374141,0.029914945675570712,negative,-0.7771307159595379
16,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,0.992073927378456,0.0551096805754971,negative,-1.5548192252856017
16,composite_市销率PS_TTM_x_svar,0.9978793214759878,0.014744996878272786,positive,1.029181038146304
17,composite_总市值_证监会算法_x_bm,0.9970958117619205,0.008313228510434844,negative,-2.4938977264059736
17,composite_市净率PB_LF_x_bm,0.9982626864688179,0.004973053808846179,negative,-2.165042545072107
17,composite_市净率PB_LF_x_itgr,0.9321045794277998,0.19435040009735532,negative,-2.198318807699696
17,composite_市净率PB_LF_x_svar,0.9321045794277998,0.19435040009735532,positive,2.021627953350893
17,composite_市净率PB_LF_x_dp,0.9982626864688178,0.004973053808846497,positive,1.6457465762272827
17,composite_净资产收益率_1年_增长率_x_bm,0.9966118136686146,0.009698671332463325,negative,-1.4162581305631134
17,composite_总资产报酬率_TTM_x_infl,0.9936310408986447,0.01823112279326405,positive,1.1971305236127343
17,composite_市盈率PE_TTM_x_itgr,0.9977692640621402,0.006385473694408806,negative,-1.0406864915953162
17,composite_营业利润_1年_增长率_x_itgr,0.9918563895819381,0.023311055880481,negative,-0.9778378929942892
17,composite_销售毛利率_TTM_x_de,0.9781486559858525,0.06254939458396061,negative,-0.914135060879262
17,composite_销售毛利率_TTM_x_svar,0.9906530752822863,0.02675553878682822,negative,-0.8948889339020436
17,composite_销售毛利率_TTM_x_m2gr,0.9781486559858528,0.06254939458395997,negative,-0.8864077980062954
17,composite_经营活动净收益_利润总额_TTM_x_ep,0.9978775725345219,0.006075441077128803,negative,-0.856267432800812
17,composite_流通市值_x_de,0.997103628316686,0.008290853650197657,positive,0.8108572055280214
17,composite_总市值_证监会算法_x_infl,0.8710241482424063,0.3691929172944694,positive,1.3287875207369575
18,composite_市净率PB_LF_x_bm,0.9973174957143403,0.007806730973365868,negative,-2.279808584683326
18,composite_市净率PB_LF_x_itgr,0.9293388226585251,0.20564097687192306,negative,-2.1647594131352363
18,composite_销售毛利率_TTM_x_infl,0.9906152457234493,0.02731188623997197,positive,1.9142753677447668
18,composite_净资产收益率_1年_增长率_x_bm,0.9954743502224309,0.013170726504343894,negative,-1.660995153638789
18,composite_市净率PB_LF_x_svar,0.9973174957143406,0.007806730973364899,positive,1.956200509130246
18,composite_市净率PB_LF_x_de,0.9293388226585253,0.20564097687192243,positive,1.495935814852298
18,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,0.9910695595023644,0.025989724158649734,negative,-1.1895309366066356
18,composite_净资产收益率_TTM_x_itgr,0.996087386093405,0.011386645059515772,negative,-1.139889377728821
18,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,0.9910695595023644,0.025989724158649734,negative,-1.6066280329189373
18,composite_营业收入_1年_增长率_x_m2gr,0.9790873141106554,0.06086093265214106,positive,1.0568445453620323
18,composite_流通市值_x_ep,0.8710789563510607,0.37519116370220296,negative,-1.0006295867140091
18,composite_总市值_证监会算法_x_tms,0.9962364408270323,0.010952860028134417,negative,-1.2108561046475983
