quarter_idx,window_start,window_end,step,selected_feature,coefficient,train_r2,train_rankic,selection_abs_corr,sse_improvement,valid_rankic_if_available
17,5,16,1,composite_总市值_证监会算法_x_bm,-2.4938977264059736,0.013939783230167202,0.24630291484085376,0.11806685915263161,0.013939783230167242,
17,5,16,2,composite_市净率PB_LF_x_bm,-2.165042545072107,0.024271434462361463,0.21918989125932337,0.10150845381207878,0.010477708213438536,
17,5,16,3,composite_市净率PB_LF_x_itgr,-2.198318807699696,0.03483788812582422,0.18705230175393026,0.10278380634431583,0.010829296216863816,
17,5,16,4,composite_市净率PB_LF_x_svar,2.021627953350893,0.042336623571438525,0.24425291267642812,0.07975121250489053,0.007769405111699967,
17,5,16,5,composite_市净率PB_LF_x_dp,1.6457465762272827,0.0479637833676656,0.22610502362568838,0.07380239870857534,0.005875926692751405,
17,5,16,6,composite_净资产收益率_1年_增长率_x_bm,-1.4162581305631134,0.052444972003567014,0.22189921545214644,0.06849749732233337,0.0047069518549964625,
17,5,16,7,composite_总资产报酬率_TTM_x_infl,1.1971305236127345,0.05562577204708574,0.22823797945187319,0.057655835940569014,0.003356849944899157,
17,5,16,8,composite_市盈率PE_TTM_x_itgr,-1.0406864915953162,0.05800079249130785,0.2286493093346222,0.049605062465824926,0.0025149145052066526,
17,5,16,9,composite_营业利润_1年_增长率_x_itgr,-0.9778378929942891,0.06014153212617568,0.22755862107528055,0.047645550300712804,0.0022725492949505163,
17,5,16,10,composite_销售毛利率_TTM_x_de,-0.9141350608792621,0.06191431984662854,0.24017852246973617,0.04225379961424815,0.001886228385496497,
17,5,16,11,composite_销售毛利率_TTM_x_svar,-0.8948889339020436,0.06367279647491197,0.24727169386380363,0.04285454009483289,0.0018745373322359544,
17,5,16,12,composite_销售毛利率_TTM_x_m2gr,-0.8864077980062954,0.06536367867181248,0.25252147096908034,0.04164056292507162,0.00180586678517365,
17,5,16,13,composite_经营活动净收益_利润总额_TTM_x_ep,-0.856267432800812,0.0669795727812863,0.25115213535076825,0.04123184544888946,0.0017289014695872095,
17,5,16,14,composite_流通市值_x_de,0.8108572055280214,0.0683758145839447,0.24828446257762637,0.037654883570949954,0.001496475063059941,
17,5,16,15,composite_总市值_证监会算法_x_infl,1.3287875207369575,0.07110911146326726,0.2576849949312427,0.045015441772483615,0.0029339050253423212,
18,6,17,1,composite_市净率PB_LF_x_bm,-2.279808584683326,0.011038722632778941,0.2025975124253747,0.10506532554929313,0.011038722632778924,
18,6,17,2,composite_市净率PB_LF_x_itgr,-2.1647594131352363,0.020501402598803176,0.12130863999323477,0.09537923745335662,0.009568301795612761,
18,6,17,3,composite_销售毛利率_TTM_x_infl,1.9142753677447668,0.028198415005180277,0.1563932877627784,0.08815660170348638,0.007858114781173563,
18,6,17,4,composite_净资产收益率_1年_增长率_x_bm,-1.660995153638789,0.03405064343751829,0.16382569399900518,0.07755379906270288,0.006022040427490334,
18,6,17,5,composite_市净率PB_LF_x_svar,1.956200509130246,0.03966909479059666,0.19787014226204902,0.0634110657856888,0.005816507164591638,
18,6,17,6,composite_市净率PB_LF_x_de,1.4959358148522979,0.044123786010514365,0.191176610667267,0.06593760483166813,0.0046387044254775234,
18,6,17,7,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,-1.1895309366066356,0.04710020802062731,0.21490355952762846,0.05553373873746219,0.003113815331475233,
18,6,17,8,composite_净资产收益率_TTM_x_itgr,-1.139889377728821,0.049802848034779745,0.21993865048354577,0.05270366947891712,0.0028362268906979814,
18,6,17,9,composite_经营活动产生的现金流量净额_营业收入_TTM_x_bm,-1.6066280329189373,0.053404446353370716,0.2305664426748531,0.04990132145286974,0.0037903695155706634,
18,6,17,10,composite_营业收入_1年_增长率_x_m2gr,1.0568445453620325,0.055687457080688785,0.24094086921459218,0.048178534556098704,0.0024118122238405344,
18,6,17,11,composite_流通市值_x_ep,-1.0006295867140091,0.05774020936377722,0.24296085367528633,0.045808313071916615,0.0021738060120882925,
18,6,17,12,composite_总市值_证监会算法_x_tms,-1.2108561046475983,0.06037975971996845,0.25231590322511155,0.04872939964422986,0.002801297882412064,
18,6,17,13,composite_营业外收支净额_利润总额_TTM_x_bm,-0.9380099480469064,0.0622191142758991,0.25538336901783903,0.04389558088359288,0.001957551015910962,
18,6,17,14,composite_经营活动净收益_利润总额_TTM_x_ep,-0.8290254550097933,0.063664409779422,0.2572922323243516,0.03906403242605381,0.0015411867799021322,
18,6,17,15,composite_总资产周转率_TTM_x_m2gr,-0.8243476669132563,0.06509331947264163,0.26142673319791104,0.038870271824270886,0.00152606576973433,
19,7,18,1,composite_市净率PB_LF_x_bm,-2.3807534601031013,0.011170978754688976,0.2408796075945944,0.10569285101031617,0.011170978754688981,
