quarter_idx,split,stock_id,stock_name,future_return_1q,stagewise_pred,promethee_net_flow,pure_stagewise_score,pure_promethee_score,hybrid_score_50_50,hybrid_score_30_70,hybrid_score_70_30
13,train,000401.SZ,冀东水泥,2.59023823116209,-2.54660308650578,-0.0424086683915407,0.21839887640449437,0.3012640449438202,0.2598314606741573,0.24325842696629213,0.2764044943820224
13,train,000403.SZ,派林生物,-6.64335664335665,9.65480920425098,0.3023008522646561,0.9817415730337079,0.9824438202247191,0.9820926966292135,0.9819522471910113,0.9822331460674157
13,train,000404.SZ,长虹华意,-11.2821781745304,-2.9737323772166127,-0.079637145737864,0.14747191011235955,0.03932584269662921,0.09339887640449437,0.11502808988764043,0.07176966292134832
13,train,000408.SZ,藏格矿业,-31.2551953449709,0.4257469905721352,0.0245242319153925,0.726123595505618,0.7675561797752809,0.7468398876404494,0.7385533707865168,0.755126404494382
13,train,000410.SZ,沈阳机床,-13.3917396745932,4.117246689857057,0.1748065765164564,0.9346910112359551,0.9669943820224719,0.9508426966292135,0.9443820224719102,0.9573033707865168
13,train,000413.SZ,ST旭电,-14.9006622516556,-3.948253170887516,-0.0772530835870116,0.051264044943820225,0.047050561797752806,0.04915730337078651,0.05,0.04831460674157303
13,train,000420.SZ,吉林化纤,-9.7972972972973,-1.935958183570589,-0.042076605696461,0.33075842696629215,0.3068820224719101,0.3188202247191011,0.3235955056179775,0.3140449438202247
13,train,000422.SZ,湖北宜化,-28.4090909090909,14.059525047970222,0.5687732771598173,0.9929775280898876,0.9943820224719101,0.9936797752808988,0.9933988764044943,0.9939606741573033
13,train,000423.SZ,东阿阿胶,-16.0800842992624,-0.1933844744843436,0.0173191535520164,0.6334269662921348,0.7443820224719101,0.6889044943820224,0.6667134831460674,0.7110955056179774
13,train,000425.SZ,徐工机械,2.72422206852041,-3.7493228244275456,-0.0682966359926486,0.06671348314606741,0.08426966292134831,0.07549157303370786,0.07198033707865167,0.07900280898876404
