split,strategy,period_count,holding_period_avg_return,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,alpha,beta,max_drawdown,win_rate,average_turnover
test,pure_promethee_score_top20,5,-4.836928837774813,-0.2257908948672963,-0.18513320773009334,0.12274994393922438,-1.5082141937413511,-0.21110345440720896,0.8285158939276669,-0.15588487411742202,0.2,0.31000000000000005
test,pure_promethee_score_top30,5,-4.739747690560486,-0.22002416659650137,-0.18028115877605022,0.10128935961889941,-1.779862756111372,-0.20570815563935965,0.7576305852789363,-0.11251131037415352,0.2,0.13333333333333333
test,pure_stagewise_score_top10,5,-1.0817444706274308,-0.08274337779029928,-0.06676141891885479,0.2570630643601822,-0.2597083291021244,-0.07657638458307714,1.565561169399561,-0.10373427999759965,0.4,0.9000000000000001
test,pure_stagewise_score_top20,5,-3.179757239454568,-0.16310055156431058,-0.13276134881793245,0.1781303717693359,-0.7453043941874629,-0.1517078375113524,1.1524356847400012,-0.1121471243070743,0.2,0.8600000000000003
test,pure_stagewise_score_top30,5,-2.538473168085443,-0.1312444631206423,-0.10645162693001764,0.1528548176191162,-0.696423106501451,-0.12416407695244333,1.0634844303192772,-0.07833043730474731,0.2,0.820000000000001
train,hybrid_score_30_70_top10,9,9.952394182679548,1.0884145355358772,0.3872053618841804,0.37790895836725535,1.02459958492937,0.04034958008805256,2.37493105788271,-0.06039322235367828,0.7777777777777778,0.8666666666666668
train,hybrid_score_30_70_top20,9,7.4145099568662465,0.7452768730673434,0.2808411134897444,0.312126272255416,0.8997676211630443,-0.005353112962955653,2.004413460917031,-0.05376552772739562,0.6666666666666666,0.8277777777777781
train,hybrid_score_50_50_top10,9,11.264291675608654,1.280941020991758,0.4426527320816245,0.4090420441593973,1.082169274288903,0.0715397197330575,2.516238539253702,-0.09562834809759613,0.6666666666666666,0.8666666666666668
train,hybrid_score_50_50_top20,9,7.891127217529576,0.8049892249385207,0.30013580055811717,0.3237412542597523,0.9270854319891668,-0.00047332398145272236,2.0985812373975468,-0.0542852348015902,0.6666666666666666,0.8444444444444448
train,hybrid_score_50_50_top30,9,7.8714483368379335,0.8489000151114885,0.3140993162743144,0.2787961183110489,1.1266272937268023,0.04764229242137946,1.7739356777492048,-0.05826215646116695,0.6666666666666666,0.8481481481481491
train,hybrid_score_70_30_top10,9,8.129145317389707,0.8333533693421316,0.30917680644249534,0.32582731577411356,0.9488977488211531,0.02340446881810565,2.0032705120182945,-0.1240796847726171,0.6666666666666666,0.8333333333333335
train,hybrid_score_70_30_top20,9,9.251210476411842,1.0123662955669444,0.3645231381707117,0.3360340955142686,1.084780214379268,0.05943750656777552,2.06201918941724,-0.042663597510310014,0.6666666666666666,0.8500000000000004
train,pure_promethee_score_top10,9,6.796670458806421,0.6154975597571795,0.23760079764173136,0.3597311955227842,0.6604953937798883,-0.018821926802143563,1.9297640441972606,-0.10231438005636861,0.5555555555555556,0.4
train,pure_promethee_score_top20,9,9.45026871235036,1.0170715948727986,0.36594022604668774,0.3619658388968341,1.0109800061850214,0.04546352744606569,2.2076453969182346,-0.07312660853698394,0.5555555555555556,0.41666666666666674
train,pure_promethee_score_top30,9,9.479422981177926,1.0610001702289487,0.3790824588071131,0.33178758724657487,1.1425456327436085,0.08357615945778363,1.9623729063739832,-0.06673012723757221,0.5555555555555556,0.3962962962962963
train,pure_stagewise_score_top10,9,5.036638462888488,0.417161329442874,0.16760907983806383,0.3339516041336662,0.5018963160032531,-0.09804949513875183,1.9883581744301133,-0.055099405722445205,0.6666666666666666,0.8666666666666668
train,pure_stagewise_score_top20,9,5.912557504888201,0.5238957590540811,0.2059059807791126,0.3277264437748432,0.6282861352518001,-0.0760284673935214,2.0747643245643164,-0.04906139592917491,0.6666666666666666,0.8444444444444448
train,pure_stagewise_score_top30,9,5.661472718420253,0.5459868660651035,0.21364442900029967,0.25607571343889274,0.8343018013353366,-0.027688848618977385,1.68718332661303,-0.04445628085928399,0.5555555555555556,0.8481481481481491
valid,hybrid_score_30_70_top10,4,10.61655900875412,0.45592175510099753,0.45592175510099753,0.30362290212373055,1.5016052870583625,0.26564626119492696,0.8352244878761548,-0.059561129434655524,0.75,0.9250000000000003
valid,hybrid_score_30_70_top20,4,3.472188491363882,0.14111965168448037,0.14111965168448037,0.11416449961274971,1.236108003478871,0.08351130104749774,0.29086105606159246,-0.024919424702372073,0.75,0.7875000000000003
valid,hybrid_score_50_50_top10,4,5.2608776382154625,0.19421132603107139,0.19421132603107139,0.2906240106992034,0.6682562998281674,0.05473092105935459,0.8178288137137443,-0.09420162510173158,0.75,0.8250000000000002
valid,hybrid_score_50_50_top20,4,5.574727290422347,0.23192602617833669,0.23192602617833669,0.15721979436504477,1.4751706495674035,0.1500433146601762,0.38314421951656763,-0.036153186295315054,0.75,0.8000000000000004
