quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk
21,train,600678.SH,四川金顶,-7.44500846023689,0.9817415730337079,27,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
21,train,300151.SZ,昌红科技,0.843988975701881,0.9810393258426966,28,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
21,train,002414.SZ,高德红外,7.49100872493973,0.9803370786516854,29,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
21,train,002690.SZ,美亚光电,31.1389653894217,0.9796348314606742,30,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600331.SH,宏达股份,110.39603960396,1.0,1,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,300116.SZ,*ST保力(退市),29.2682926829269,0.9992977528089888,2,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002248.SZ,华东数控,47.4258970358814,0.9985955056179775,3,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,000410.SZ,沈阳机床,11.6945107398568,0.9978932584269663,4,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,000972.SZ,中基健康,-1.33928571428572,0.9971910112359551,5,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002506.SZ,协鑫集成,26.1538461538461,0.9964887640449438,6,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,000890.SZ,法尔胜,-23.462783171521,0.9957865168539326,7,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600319.SH,亚星化学,-2.0979020979021,0.9950842696629213,8,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600238.SH,海南椰岛,-29.4402985074627,0.9943820224719101,9,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002547.SZ,春兴精工,-7.58620689655173,0.9936797752808989,10,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002466.SZ,天齐锂业,63.8387096774194,0.9929775280898876,11,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,300353.SZ,东土科技,-4.71596998928188,0.9922752808988764,12,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600460.SH,士兰微,1.31322094055013,0.9915730337078652,13,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600601.SH,方正科技,-9.06148867313916,0.9908707865168539,14,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002371.SZ,北方华创,33.5665587721669,0.9901685393258427,15,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600610.SH,中毅达,56.060606060606,0.9894662921348315,16,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600213.SH,*ST亚星,-3.17241379310346,0.9887640449438202,17,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002709.SZ,天赐材料,42.3012160898036,0.988061797752809,18,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,000908.SZ,*ST景峰,-13.1914893617021,0.9873595505617978,19,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600877.SH,电科芯片,-4.03785488958991,0.9866573033707865,20,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002172.SZ,澳洋健康,-31.758034026465,0.9859550561797753,21,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,000953.SZ,河化股份,-5.62248995983936,0.985252808988764,22,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600696.SH,岩石股份,-35.8507330075522,0.9845505617977528,23,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600436.SH,片仔癀,-15.8639407354675,0.9838483146067416,24,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002231.SZ,奥维通信,-5.24344569288391,0.9831460674157303,25,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,300124.SZ,汇川技术,-8.61618798955613,0.9824438202247191,26,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,600293.SH,三峡新材,18.7290969899665,0.9817415730337079,27,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002366.SZ,融发核电,51.8105849582173,0.9810393258426966,28,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,000017.SZ,深中华A,0.574712643678166,0.9803370786516854,29,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
22,valid,002514.SZ,宝馨科技,4.58937198067635,0.9796348314606742,30,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,002515.SZ,金字火腿,7.8740157480315,1.0,1,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,002708.SZ,光洋股份,24.4206773618538,0.9992977528089888,2,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,300343.SZ,联创股份,-8.98395721925135,0.9985955056179775,3,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,000536.SZ,华映科技,3.36134453781511,0.9978932584269663,4,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,000931.SZ,中关村,8.64022662889519,0.9971910112359551,5,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,601012.SH,隆基绿能,6.32786480819048,0.9964887640449438,6,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600010.SH,包钢股份,-9.41558441558442,0.9957865168539326,7,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,601727.SH,上海电气,-7.25190839694657,0.9950842696629213,8,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600760.SH,中航沈飞,2.70497291889134,0.9943820224719101,9,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,000333.SZ,美的集团,5.03771168350649,0.9936797752808989,10,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600703.SH,三安光电,16.7184586699814,0.9929775280898876,11,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,601877.SH,正泰电器,-1.02846648301195,0.9922752808988764,12,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600745.SH,闻泰科技,38.7190215642099,0.9915730337078652,13,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600815.SH,厦工股份,13.3333333333333,0.9908707865168539,14,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600893.SH,航发动力,19.7358490566038,0.9901685393258427,15,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,600031.SH,三一重工,-9.45194598888007,0.9894662921348315,16,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,002493.SZ,荣盛石化,-2.31307154384078,0.9887640449438202,17,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,300207.SZ,欣旺达,15.0027277686852,0.988061797752809,18,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,000725.SZ,京东方A,0.397614314115313,0.9873595505617978,19,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,601633.SH,长城汽车,-5.1705759778523,0.9866573033707865,20,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
23,valid,300124.SZ,汇川技术,9.21827734437191,0.9859550561797753,21,0.03333333333333333,pure_stagewise_score_top30,pure_stagewise_score,30
