quarter_idx,stock_id,stock_name,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank
13,000333.SZ,美的集团,0.059723110815514915,0.0601199904993281,-0.00039687968381318245,520.0
13,000338.SZ,潍柴动力,0.020903514198603673,0.06601552684541659,-0.045112012646812916,1022.0
13,000400.SZ,许继电气,0.014531072586130463,0.07628162406644312,-0.06175055148031266,1230.0
13,000401.SZ,冀东水泥,0.021406529811511775,0.06381519820305254,-0.04240866839154076,996.0
13,000403.SZ,派林生物,0.3298556410880573,0.027554788823401163,0.30230085226465614,26.0
13,000404.SZ,长虹华意,0.011834633152165144,0.09147177889002918,-0.07963714573786404,1369.0
13,000408.SZ,藏格矿业,0.07997191164227083,0.05544767972687829,0.024524231915392533,332.0
13,000410.SZ,沈阳机床,0.20471069206731224,0.02990411555085583,0.1748065765164564,48.0
13,000413.SZ,ST旭电,0.011515083864617852,0.08876816745162946,-0.0772530835870116,1358.0
13,000420.SZ,吉林化纤,0.01860010101221621,0.0606767067086773,-0.042076605696461086,988.0
13,000422.SZ,湖北宜化,0.6155879143520071,0.046814637192189854,0.5687732771598173,9.0
13,000423.SZ,东阿阿胶,0.06767475648195968,0.05035560292994326,0.017319153552016422,365.0
13,000425.SZ,徐工机械,0.012821302398570922,0.08111793839121954,-0.06829663599264862,1305.0
13,000488.SZ,晨鸣纸业,0.014542336298095959,0.10560540756369714,-0.09106307126560119,1414.0
13,000505.SZ,京粮控股,0.015386931285333937,0.07218213746282526,-0.05679520617749132,1180.0
13,000510.SZ,新金路,0.04426663146890881,0.046215834455679,-0.0019492029867701904,542.0
13,000513.SZ,丽珠集团,0.056831455088034895,0.05093050362346591,0.005900951464568982,451.0
13,000518.SZ,四环生物,0.2028147543577794,0.01733245321745646,0.18548230114032294,45.0
13,000519.SZ,中兵红箭,0.013012896692767914,0.07815817662226741,-0.0651452799294995,1276.0
13,000521.SZ,长虹美菱,0.02182337900257668,0.08942034214171218,-0.0675969631391355,1294.0
13,000523.SZ,红棉股份,0.028861510768944665,0.074170405239408,-0.04530889447046334,1026.0
13,000528.SZ,柳工,0.015670771786276756,0.07825662498187422,-0.06258585319559747,1244.0
13,000529.SZ,广弘控股,0.026213876369613608,0.054470830162596635,-0.028256953792983028,809.0
13,000530.SZ,冰山冷热,0.018781408093073756,0.08312884382106045,-0.0643474357279867,1271.0
13,000533.SZ,顺钠股份,0.047272341189098704,0.08354696080805735,-0.03627461961895864,916.0
13,000534.SZ,万泽股份,0.08783367180353117,0.030738933731832053,0.057094738071699125,183.0
13,000536.SZ,华映科技,0.0680201097868996,0.10066401591886474,-0.03264390613196515,864.0
13,000538.SZ,云南白药,0.07435227364047571,0.04967365185238335,0.02467862178809236,330.0
13,000541.SZ,佛山照明,0.01650147321714112,0.06399255060289213,-0.047491077385751014,1055.0
13,000545.SZ,金浦钛业,0.025639696484240238,0.0608555651090027,-0.03521586862476246,902.0
13,000547.SZ,航天发展,0.030923869832155903,0.04856245353151519,-0.01763858369935929,699.0
13,000550.SZ,江铃汽车,0.02180847421294109,0.06587944937588765,-0.04407097516294656,1014.0
13,000553.SZ,安道麦A,0.023880396375597475,0.07276751136794389,-0.048887114992346416,1071.0
13,000559.SZ,万向钱潮,0.04681994845814398,0.04415332964872506,0.0026666188094189233,484.0
13,000561.SZ,烽火电子,0.06764978412956361,0.029787206939291672,0.037862577190271945,250.0
13,000565.SZ,渝三峡A,0.024425111036139098,0.05468279273569742,-0.030257681699558323,832.0
13,000566.SZ,海南海药,0.06206955316727964,0.04483398709214947,0.017235566075130174,366.0
13,000568.SZ,泸州老窖,0.1637559147057761,0.0633001920697635,0.1004557226360126,102.0
13,000570.SZ,苏常柴A,0.014117642667880698,0.07752381152358334,-0.06340616885570265,1252.0
13,000572.SZ,海马汽车,0.02956714766931136,0.11155287713620028,-0.08198572946688892,1378.0
13,000576.SZ,甘化科工,0.06153944763639785,0.05081209679976524,0.010727350836632607,412.0
13,000581.SZ,威孚高科,0.013059868456508864,0.07698983537734978,-0.06392996692084092,1263.0
13,000586.SZ,汇源通信,0.20599315907539376,0.03153666588240562,0.17445649319298814,49.0
13,000589.SZ,贵州轮胎,0.010673213449799025,0.0956764440306306,-0.08500323058083156,1392.0
