experiment_id,preprocessing_method,winsorize_quantile,scaling_method,rolling_window,max_selected_features,selection_objective,refit_method,ridge_alpha,feature_corr_threshold,min_improvement,promethee_top_n,entropy_weight_method,preference_function,min_selected_count,sign_stability_threshold,hybrid_score_name,top_k,rank_smoothing,buffer_rule,train_rankic,valid_rankic,test_rankic,valid_icir,test_icir,valid_annualized_return,valid_sharpe,valid_alpha,valid_information_ratio,valid_max_drawdown,valid_turnover,valid_excess_win_rate,test_annualized_return,test_sharpe,test_alpha,test_information_ratio,test_max_drawdown,test_turnover,test_excess_win_rate,selected_as_final,reason,robust_valid_score
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,trailing2_60_40,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.3127142875911972,2.949823075322798,0.1962542757627126,0.4047324733513354,-0.0052382820625115,0.8500000000000004,0.5,0.1603494972599117,0.8877871883934156,0.1372713317283679,1.010315363709984,0.0,0.6700000000000003,0.8,False,,0.3793029705333824
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,trailing2_60_40,buffer,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.3117836244007477,2.7051744418814354,0.1871446887007455,0.4375929848695893,-0.0115604757356593,0.8375000000000004,0.5,0.1192031068582988,0.7161017490722216,0.0996743564656577,0.9648360420357038,0.0,0.5800000000000003,0.8,False,,0.3821623135029822
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,trailing2_60_40,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.278037312262172,2.831056471768844,0.1880378026820877,0.2245173938290682,0.0,0.8333333333333343,0.5,0.0770948355892251,0.4332060752880423,0.0608660100466772,0.4938440578813775,0.0,0.5866666666666669,0.8,False,,0.34634358559942535
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,trailing2_60_40,buffer,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.278160772168144,2.5495078285706847,0.1756537888933779,0.2498015762229738,0.0,0.8000000000000008,0.5,0.1122057370235354,0.6722335383949969,0.0934198733713989,0.8673845751425723,0.0,0.5000000000000001,0.8,False,,0.36299145289626034
rb_001,window_median,0.05,quarter_rank,12,5,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,50,trailing2_60_40,none,-0.0594479188233886,0.1794682482504289,0.0917094940433002,0.9285426884368316,0.8153783903428956,0.3255183147276395,2.4448133551319007,0.1873505814418357,0.5192449838145488,0.0,0.8000000000000005,0.5,0.0723184705434709,0.4703748361678772,0.0564745387249705,0.5962825496315467,0.0,0.4600000000000002,0.8,False,,0.434080390896755
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,none,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,1.0152375367945838,5.419568271156504,0.6398403670946543,2.292278705381624,0.0,0.9375000000000004,1.0,-0.0080874368852401,-0.0413081039144903,-0.0206223771919473,-0.0703924061527925,0.0,0.6100000000000001,0.6,False,,1.1591148870973824
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,none,buffer,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.9739611476614378,4.814677213868772,0.6054344297355162,2.1665663142327825,0.0,0.8625000000000004,1.0,-0.0005851064104576,-0.0029515816338796,-0.0130803605615651,-0.0263081866697867,0.0,0.5600000000000003,0.8,False,,1.149687428350509
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,none,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.8066342734427605,5.209270932311029,0.5386665048606785,1.6562465263266932,0.0,0.8833333333333344,1.0,0.0122811362830059,0.0635313221935132,-0.0012674415965176,0.0395434692936003,0.0,0.6066666666666669,0.6,False,,0.9593395185076579
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,30,none,buffer,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.8134222565511231,5.113397261053786,0.5339063723995354,1.821914936700159,0.0,0.8500000000000009,1.0,0.0072951952999551,0.0381023313553891,-0.0062913105676995,0.0087629309570674,0.0,0.5800000000000003,0.6,False,,1.0144525735694319
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,50,none,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.6331771384302192,6.067884146253302,0.4511777649642583,1.1806446165902424,0.0,0.8500000000000005,0.75,0.0176694855675605,0.1003625183496493,0.0040677021480856,0.0654083173855799,0.0,0.5800000000000003,0.6,False,,0.7940652831230319
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,prev_70_30,none,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.3601534967974611,4.490294985437019,0.2608247963741693,0.4477422789592213,0.0,0.8500000000000004,0.75,0.0217063709675646,0.1082831389688379,0.0097431448747286,0.0858914630959338,0.0,0.6500000000000002,0.6,False,,0.452829885897719
rb_002,window_median,0.05,quarter_rank,12,5,residual_correlation,Ridge,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,prev_70_30,buffer,-0.059447038492525,0.1794648716788633,0.0916983623979265,0.9285969929289682,0.8152569495676124,0.3602952918342397,4.496987769302843,0.2610237759504307,0.447831924969191,0.0,0.8125000000000003,0.75,0.0642694759228541,0.3549308131947757,0.0502866563116606,0.322117151479525,0.0,0.5700000000000002,0.8,False,,0.47840587142788393
