quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk,buffer_rule
16,train,603088.SH,宁波精达,-0.561167227833903,0.990870786516854,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
16,train,300179.SZ,四方达,-4.18760469011725,0.9901685393258428,15,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
16,train,300016.SZ,北陆药业,-3.5754189944134,0.9894662921348316,16,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
16,train,002248.SZ,华东数控,9.80891719745223,0.9887640449438202,17,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
16,train,300354.SZ,东华测试,-10.3811841038118,0.988061797752809,18,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
16,train,300019.SZ,硅宝科技,-7.58196721311475,0.9873595505617978,19,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
16,train,002360.SZ,同德化工,-4.88721804511281,0.9845505617977528,20,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
17,train,600817.SH,宇通重工,-1.7989417989418,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
17,train,300354.SZ,东华测试,6.31020120759735,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
17,train,300069.SZ,金利华电,12.9349967170059,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
17,train,600615.SH,丰华股份,14.3033292231813,0.9978932584269664,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
