quarter_idx,split,stock_id,stock_name,future_return_1q,stagewise_pred,stagewise_rank,stagewise_rank_pct,selected_feature_count,selected_features,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank,preference_function,pure_stagewise_score,pure_promethee_score,hybrid_score_70_30,hybrid_score_50_50,hybrid_score_30_70,robust__pure_stagewise_score__none
13,train,000408.SZ,藏格矿业,-31.2551953449709,-1.0626614326921633,882.0,0.3813202247191011,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.21094409764026628,0.09156744541845334,0.11937665222181294,275.0,linear,0.3813202247191011,0.8075842696629213,0.7254213483146067,0.6211376404494382,0.5126404494382022,0.3813202247191011
13,train,000410.SZ,沈阳机床,-13.3917396745932,2.358273839844467,455.0,0.6811797752808989,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.40733896316869844,0.09414013330039941,0.31319882986829906,72.0,linear,0.6811797752808989,0.9501404494382022,0.9122191011235955,0.870435393258427,0.8156601123595506,0.6811797752808989
13,train,000413.SZ,ST旭电,-14.9006622516556,-5.342921605808905,1323.0,0.07162921348314606,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.02747091686519584,0.21904222289438346,-0.19157130602918762,1336.0,linear,0.07162921348314606,0.0625,0.05196629213483146,0.05196629213483146,0.05828651685393258,0.07162921348314606
13,train,000420.SZ,吉林化纤,-9.7972972972973,-0.3262639817029735,784.0,0.45014044943820225,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.03889315174059974,0.14299623593265945,-0.10410308419205971,1027.0,linear,0.45014044943820225,0.2794943820224719,0.2949438202247191,0.31952247191011235,0.3518258426966292,0.45014044943820225
13,train,000422.SZ,湖北宜化,-28.4090909090909,-2.9395874890215428,1131.0,0.20646067415730338,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.42575395444544195,0.3416034908304255,0.08415046361501644,374.0,linear,0.20646067415730338,0.738061797752809,0.5800561797752809,0.44030898876404495,0.32092696629213485,0.20646067415730338
13,train,000423.SZ,东阿阿胶,-16.0800842992624,-3.348869051167627,1175.0,0.175561797752809,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.18789945333829078,0.14252964190061218,0.0453698114376786,452.0,linear,0.175561797752809,0.6832865168539326,0.5084269662921348,0.38974719101123595,0.27808988764044945,0.175561797752809
13,train,000425.SZ,徐工机械,2.72422206852041,-6.136289580644684,1363.0,0.04353932584269663,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.02058058297595932,0.2197850600986611,-0.19920447712270178,1350.0,linear,0.04353932584269663,0.05266853932584269,0.03932584269662921,0.037921348314606744,0.038623595505617975,0.04353932584269663
13,train,000488.SZ,晨鸣纸业,-20.7100591715976,-3.6128623755902565,1206.0,0.15379213483146068,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.06933475781655819,0.1494426076022692,-0.08010784978571102,926.0,linear,0.15379213483146068,0.35042134831460675,0.24648876404494383,0.19873595505617977,0.1678370786516854,0.15379213483146068
13,train,000505.SZ,京粮控股,2.19780219780217,-2.66939332568251,1101.0,0.22752808988764045,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.021268657815739802,0.19577013557463968,-0.17450147775889988,1293.0,linear,0.22752808988764045,0.09269662921348315,0.1014747191011236,0.1172752808988764,0.14396067415730338,0.22752808988764045
13,train,000510.SZ,新金路,-13.7996219281664,-1.1293155006202902,893.0,0.37359550561797755,5,composite_净资产收益率_TTM_x_bm;composite_流通市值_x_itgr;composite_市净率PB_LF_x_ntis;composite_销售毛利率_TTM_x_dp;composite_净资产收益率_TTM_x_itgr,0.057930442351962756,0.1433975675119585,-0.08546712515999574,945.0,linear,0.37359550561797755,0.33707865168539325,0.3181179775280899,0.3089887640449438,0.31952247191011235,0.37359550561797755
