quarter_idx,feature,weight,direction,coefficient_for_direction,selected_count,sign_stability,entropy_weight_method,preference_function
25,composite_总资产报酬率_TTM_x_infl,0.016542280569145987,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
26,composite_净资产收益率_TTM_x_ntis,0.01440558486588741,negative,-2.7161515964282867,7,1.0,smooth_80_20,linear
26,composite_市净率PB_LF_x_svar,0.015023378026184534,positive,2.5115929536507275,5,1.0,smooth_80_20,linear
26,composite_市净率PB_LF_x_ntis,0.09132962798490306,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
26,composite_净资产收益率_TTM_x_m2gr,0.0333959892468276,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
26,composite_流通市值_x_bm,0.018264647806975995,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
26,composite_流通市值_x_mtr,0.15398789953322362,positive,2.023333030618362,3,1.0,smooth_80_20,linear
26,composite_销售毛利率_TTM_x_dp,0.022129030213986836,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
26,composite_销售净利率_TTM_x_m2gr,0.02869869516081975,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
26,composite_流通市值_x_itgr,0.1539878995332239,negative,-0.38837900914978163,3,0.6666666666666667,smooth_80_20,linear
26,composite_净资产收益率_TTM_x_itgr,0.0333959892468276,positive,0.576951522955586,3,0.6666666666666666,smooth_80_20,linear
26,composite_净资产收益率_TTM_x_bm,0.0333959892468276,negative,-2.841365875454727,2,1.0,smooth_80_20,linear
26,composite_净资产收益率_TTM_x_svar,0.01440558486588741,negative,-2.7769358100611052,2,1.0,smooth_80_20,linear
26,composite_流通市值_x_infl,0.1539878995332239,positive,2.438700098948302,2,1.0,smooth_80_20,linear
26,composite_市净率PB_LF_x_itgr,0.09132962798490306,negative,-1.9341620397151993,2,1.0,smooth_80_20,linear
26,composite_市净率PB_LF_x_m2gr,0.015023378026184534,negative,-1.9008348634261818,2,1.0,smooth_80_20,linear
26,composite_销售毛利率_TTM_x_m2gr,0.022129030213986434,negative,-1.8830087546209664,2,1.0,smooth_80_20,linear
26,composite_经营活动净收益_利润总额_TTM_x_ep,0.08947336654921152,negative,-1.6506406697466294,2,1.0,smooth_80_20,linear
26,composite_总资产报酬率_TTM_x_infl,0.01563638196091529,positive,1.5083915572520885,2,1.0,smooth_80_20,linear
27,composite_净资产收益率_TTM_x_ntis,0.015043885695555731,negative,-2.6528579169074913,8,1.0,smooth_80_20,linear
27,composite_市净率PB_LF_x_svar,0.015224966806092453,positive,2.6871190218881726,6,1.0,smooth_80_20,linear
27,composite_总市值_证监会算法_x_bm,0.21070413995424475,positive,0.9019712555057537,5,0.6,smooth_80_20,linear
27,composite_市净率PB_LF_x_ntis,0.1329310865576531,negative,-2.31568677059292,4,1.0,smooth_80_20,linear
27,composite_净资产收益率_TTM_x_m2gr,0.039261969249829186,negative,-3.095290292114056,3,1.0,smooth_80_20,linear
27,composite_流通市值_x_bm,0.01842043477822055,negative,-2.245914970607303,3,1.0,smooth_80_20,linear
27,composite_流通市值_x_mtr,0.01842043477822055,positive,2.023333030618362,3,1.0,smooth_80_20,linear
27,composite_销售毛利率_TTM_x_dp,0.025564532838551094,negative,-1.9359878601745375,3,1.0,smooth_80_20,linear
27,composite_销售净利率_TTM_x_m2gr,0.03537466496512154,negative,-1.6233179432073557,3,1.0,smooth_80_20,linear
