experiment_id,quarter_idx,rolling_window_start,rolling_window_end,step,selected_feature,coefficient,residual_correlation,train_r2,train_rankic,marginal_improvement,stable_core_restricted
rb_003,21,9,20,2,composite_流通市值_x_infl,2.3507288699039255,0.05602404803733752,0.00832580550369122,0.10663272354058206,0.0032162157875992867,False
rb_003,21,9,20,3,composite_销售毛利率_TTM_x_m2gr,-2.068023889666017,0.05047104475287532,0.010861561935632036,0.12364092171440742,0.002557045898757798,False
rb_003,21,9,20,4,composite_市净率PB_LF_x_ep,-1.852321138302597,0.045250875930836786,0.012892744490167751,0.1354199214223788,0.002053486626715838,False
rb_003,21,9,20,5,composite_总资产周转率_TTM_x_m2gr,-1.8611385863678025,0.04157743197831818,0.014769482117268029,0.14330119196229268,0.00190124995700794,False
rb_003,22,10,21,1,composite_净资产收益率_TTM_x_ntis,-3.3461608353758954,0.07980988192933951,0.006369615486955249,0.10006001543119507,0.006369615486955302,False
rb_003,22,10,21,2,composite_市销率PS_TTM_x_infl,1.9499427476364615,0.04648980221356361,0.008517159881776482,0.10883996180969012,0.0021613111155751176,False
rb_003,22,10,21,3,composite_销售毛利率_TTM_x_m2gr,-1.697993619575916,0.04046209213034784,0.010148595097421609,0.11746781725433186,0.0016454497744515712,False
rb_003,22,10,21,4,composite_流通市值_x_itgr,-1.8346065937249094,0.03988352349284453,0.011882376426456398,0.12674858667641442,0.0017515571735794272,False
rb_003,22,10,21,5,composite_市净率PB_LF_x_svar,1.5172896653584877,0.03483384469954399,0.013130742031745024,0.1339621104579034,0.001263377532700843,False
rb_003,23,11,22,1,composite_净资产收益率_TTM_x_ntis,-3.400235120486294,0.07770835991084421,0.0060385875254000965,0.0951682651602925,0.00603858752540008,False
rb_003,23,11,22,2,composite_市净率PB_LF_x_svar,2.6394647532683817,0.06018826441797103,0.009646267428142341,0.1269337800425393,0.003629597545200985,False
rb_003,23,11,22,3,composite_流通市值_x_itgr,-2.006382474465372,0.04372966488953778,0.011639454335755528,0.13811970847456517,0.002012600995037386,False
rb_003,23,11,22,4,composite_市净率PB_LF_x_m2gr,-1.8556292878495049,0.042534753878007266,0.013431733168474791,0.1413679225752542,0.0018133856522112952,False
rb_003,23,11,22,5,composite_销售毛利率_TTM_x_dp,-1.6612918662488134,0.03739801299005366,0.014840959706100443,0.14791963555031745,0.0014284125944488406,False
rb_003,24,12,23,1,composite_净资产收益率_TTM_x_itgr,-2.9627713922109002,0.06546244228858175,0.004285330160974543,0.0865714442212249,0.004285330160974587,False
rb_003,24,12,23,2,composite_市净率PB_LF_x_svar,2.496594726188603,0.055099708085651476,0.007309651358328728,0.11611090811409847,0.0030373371900236337,False
rb_003,24,12,23,3,composite_市净率PB_LF_x_m2gr,-1.9460404390028587,0.04314037890834554,0.00915721275179171,0.12425821508474441,0.0018611658670712953,False
rb_003,24,12,23,4,composite_净资产收益率_TTM_x_ntis,-1.9877905930205133,0.03870863685241966,0.010849169877849119,0.13680359441498097,0.0017075939269400803,False
rb_003,24,12,23,5,composite_总市值_证监会算法_x_itgr,-2.0457800619444817,0.03647659088980955,0.012487556839384073,0.14432842376357988,0.0016563570606644696,False
rb_003,25,13,24,1,composite_总市值_证监会算法_x_bm,3.5821191586606504,0.08298630649799711,0.006886725152842499,0.09747451408520331,0.006886725152842466,False
rb_003,25,13,24,2,composite_市净率PB_LF_x_svar,2.891566980887924,0.06706198054539717,0.011353941988014316,0.12983071725126494,0.00449819466551723,False
rb_003,25,13,24,3,composite_净资产收益率_TTM_x_ntis,-2.589987631696238,0.05912897972297727,0.014883655956637543,0.1580305845626575,0.003570250384370078,False
rb_003,25,13,24,4,composite_流通市值_x_svar,2.342836598727915,0.050444035983573575,0.017599513948800882,0.16132785622817278,0.0027568906034146044,False
rb_003,25,13,24,5,composite_流通市值_x_m2gr,1.83805519639815,0.04055024940526546,0.019312131441578617,0.1696834452143338,0.001743298702611284,False
