quarter_idx,stock_id,stock_name,promethee_phi_plus,promethee_phi_minus,promethee_net_flow,promethee_rank,preference_function
13,000547.SZ,航天发展,0.18269947985472354,0.08349855179746307,0.09920092805726047,248.0,linear
13,000550.SZ,江铃汽车,0.09000495324537278,0.1398175063892214,-0.04981255314384864,706.0,linear
13,000553.SZ,安道麦A,0.14110567362241186,0.12290980376908747,0.018195869853324387,387.0,linear
13,000559.SZ,万向钱潮,0.09834592247315369,0.1160225793821545,-0.017676656909000818,527.0,linear
13,000561.SZ,烽火电子,0.06987822655172025,0.10103133704386862,-0.03115311049214836,602.0,linear
13,000565.SZ,渝三峡A,0.0419730668235211,0.12019530107406219,-0.07822223425054109,937.0,linear
13,000566.SZ,海南海药,0.08884498067415104,0.10821756801948597,-0.019372587345334924,541.0,linear
13,000568.SZ,泸州老窖,0.4872607435393707,0.09231077265740967,0.39494997088196104,46.0,linear
13,000570.SZ,苏常柴A,0.02097156492018186,0.15104772939844574,-0.13007616447826387,1381.0,linear
13,000572.SZ,海马汽车,0.09079689255901159,0.19689320654910106,-0.10609631399008947,1243.0,linear
