preference_function,q,p,sigma,split,mean_rankic,top10_annualized_return,top20_annualized_return,top30_annualized_return,top10_sharpe,top20_sharpe,top30_sharpe,alpha,beta,max_drawdown,turnover,rating_separation,avg_net_flow_std,avg_top20_overlap_with_selected,selected_as_final,reason
v_shape,0.0,0.25,,train,-0.00558996908280213,0.14711855397698415,0.12929652066979402,0.16405228842889752,0.5072203774461569,0.4530057226402038,0.6555606997368522,-0.07230646451602116,1.5160046881498568,-0.08273719182209183,0.5444444444444446,0.7199641604997966,0.1675350609549603,0.9222222222222223,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
v_shape,0.0,0.25,,valid,-0.11662127183496085,-0.1857931723164994,-0.16725145743680847,-0.10722106078091509,-0.6576554788972908,-0.5514167556358285,-0.37716162386546054,-0.319541887786223,0.9296374658067057,-0.2101096829301724,0.37500000000000006,-7.307810927081251,0.1675350609549603,0.9375,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
level,0.05,0.25,,all,,-0.08031606578679407,-0.04865533475515027,-0.0247863638756195,-0.32074231945596904,-0.1894274600907517,-0.10574775902281096,-0.17129130984651428,1.2274086874150614,-0.40900451623577994,0.5111111111111112,,0.15996074711904076,,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
level,0.05,0.25,,test,-0.15124713522688146,-0.24780646258550454,-0.2285351159502259,-0.2370157291473991,-2.1844678906597297,-1.8002836150582342,-2.1176859688894005,-0.26006499533040545,0.7379835145483221,-0.1964564483330935,0.6300000000000002,-6.203556490138941,0.15996074711904076,0.8699999999999999,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
level,0.05,0.25,,train,-0.008422940637311945,0.07518914810458677,0.1433887755754153,0.16991314471716135,0.2641444214314746,0.5071486998706269,0.6804005640583433,-0.0729792644487881,1.6051852615628441,-0.12273430383735395,0.5388888888888891,0.9484199132463593,0.15996074711904076,0.8722222222222222,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
level,0.05,0.25,,valid,-0.11420192676797684,-0.16800495542003746,-0.18259185832235003,-0.12004833733665854,-0.5917173951301855,-0.6274671394666543,-0.44757772827180214,-0.3419487513776913,0.9406197131356567,-0.20695035736145795,0.30000000000000004,-7.800895938773233,0.15996074711904076,0.9375,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
linear,0.05,0.25,,all,,-0.023330943919409486,-0.04354408479942429,-0.00631608275921447,-0.09096750863534739,-0.17750173191297222,-0.027996363610353653,-0.15665665696890665,1.1300166177559947,-0.41148842933601537,0.5055555555555558,,0.15379611112380281,,True,Final PROMETHEE preference function from validation-selected optimized configuration.
linear,0.05,0.25,,test,-0.14302200794332265,-0.20637969558102653,-0.23916588985603338,-0.21541048102234406,-1.753077633136782,-2.412062468267911,-1.966795688982539,-0.2725390917366802,0.5880639093066767,-0.19988965173033213,0.5900000000000002,-5.908435903927734,0.15379611112380281,1.0,True,Final PROMETHEE preference function from validation-selected optimized configuration.
linear,0.05,0.25,,train,-0.0009116144086175787,0.17916097816167875,0.15787325699666854,0.19200466091702495,0.6236086350208263,0.599667353007755,0.8299949042899412,-0.042391559160931264,1.4589747258397583,-0.08001723283611839,0.5444444444444446,1.0804103403187617,0.15379611112380281,1.0,True,Final PROMETHEE preference function from validation-selected optimized configuration.
linear,0.05,0.25,,valid,-0.10548317682145628,-0.171470471006961,-0.17178605762911492,-0.11347977017064304,-0.6218175915411445,-0.5921301020772152,-0.41470886948756147,-0.32129593916979327,0.8953119784826997,-0.20075614751694537,0.3125,-6.708846033144418,0.15379611112380281,1.0,True,Final PROMETHEE preference function from validation-selected optimized configuration.
gaussian,,,0.2,all,,-0.0615030845625385,-0.022881451063581193,-0.02015012895017887,-0.22626947845387682,-0.1001208262897041,-0.09242958953787862,-0.13920228507580223,1.134528040292494,-0.3564370335842393,0.4277777777777779,,0.12087135974875521,,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
gaussian,,,0.2,test,-0.14031159367372217,-0.23175940501400472,-0.20182952761830553,-0.20233405444082775,-1.7842843004280287,-1.8160633650714157,-1.4372890844907982,-0.22758671575012382,0.6392532862988447,-0.1760107782615432,0.6200000000000003,-5.8507198052691765,0.12087135974875521,0.8099999999999999,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
gaussian,,,0.2,train,0.0020392615996443226,0.10984158732373284,0.16135544952497827,0.13738936321059936,0.353069804324948,0.654377817025953,0.6319310936367919,-0.04958430268963254,1.5103688288974324,-0.08157460849105991,0.39444444444444454,1.2171489056540863,0.12087135974875521,0.7777777777777778,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
gaussian,,,0.2,valid,-0.10214646354379824,-0.1735073031684834,-0.14695592057584905,-0.09396286204939408,-0.5767991789566456,-0.5593206247361363,-0.3328005278139134,-0.2899460840760868,0.847597671311916,-0.18645086105489161,0.2625,-7.0107156124717065,0.12087135974875521,0.875,False,Sensitivity comparison only; test metrics were not used to select the final preference function.
