experiment_id,quarter_idx,rolling_window_start,rolling_window_end,step,selected_feature,coefficient,residual_correlation,train_r2,train_rankic,marginal_improvement
sw_009,17,5,16,12,composite_总资产周转率_TTM_x_m2gr,-0.8397404809723611,0.021517487797065048,0.023212706437665598,0.17641811745782834,0.0004994296556917542
sw_009,18,6,17,1,composite_净资产收益率_TTM_x_m2gr,-3.347655274593108,0.0890493271180931,0.00792978266018518,0.11156720406146023,0.007929782660185148
sw_009,18,6,17,2,composite_净资产收益率_TTM_x_ep,-2.987248345699718,0.059805544395646205,0.012662716465864476,0.11827896140961497,0.004770764934734573
sw_009,18,6,17,3,composite_市净率PB_LF_x_itgr,-2.103327665691385,0.056131706808475644,0.015781873320307782,0.12314593340047708,0.003159160406946732
sw_009,18,6,17,4,composite_流通市值_x_bm,-2.1673753496762718,0.05498173207028168,0.018921267131874253,0.15156549007384526,0.0031897337861042092
sw_009,18,6,17,5,composite_流通市值_x_ntis,-2.0413228764801814,0.038894261759817486,0.021012308132495106,0.1581141913930262,0.0021313692067382686
sw_009,18,6,17,6,composite_销售毛利率_TTM_x_m2gr,-1.53129823557542,0.0369248679159963,0.022500392372169387,0.16145016092407494,0.0015200234405762726
sw_009,18,6,17,7,composite_市销率PS_TTM_x_dp,-1.200615525136223,0.03171337520078439,0.02350112483821787,0.16620349416968766,0.0010237676396381882
sw_009,18,6,17,8,composite_经营活动净收益_利润总额_TTM_x_ep,-1.2202810469054886,0.028577000004959757,0.02441598187770433,0.16547585724474853,0.0009368746475360649
sw_009,18,6,17,9,composite_总资产报酬率_TTM_x_bm,-1.5348098763345022,0.027362825859218818,0.025518989310469142,0.1669045759128422,0.001130612445750956
sw_009,18,6,17,10,composite_经营活动产生的现金流量净额_营业收入_TTM_x_m2gr,-1.112376038046651,0.024676272892096472,0.02623981436544831,0.17078327677912505,0.0007397014893795897
sw_009,18,6,17,11,composite_市盈率PE_TTM_x_dp,-1.0202836311550698,0.024874990258614605,0.026905974784266595,0.17146921269233326,0.0006841113742847369
sw_009,18,6,17,12,composite_市净率PB_LF_x_mtr,0.9855188234591987,0.022870653939337123,0.02749683826826055,0.17492398188435718,0.000607200813778465
sw_009,19,7,18,1,composite_净资产收益率_TTM_x_m2gr,-3.4011330598663747,0.08715602256884938,0.007596172270021739,0.10963594729627747,0.0075961722700217775
sw_009,19,7,18,2,composite_流通市值_x_mtr,2.5628940284956063,0.06220735537730331,0.011662931302109936,0.12035407934676864,0.004097887289885222
sw_009,19,7,18,3,composite_市净率PB_LF_x_infl,1.8147449115893355,0.04654130781194389,0.013803954441261923,0.12885624555272887,0.0021662884120827197
sw_009,19,7,18,4,composite_经营活动净收益_利润总额_TTM_x_ep,-1.7238886527410782,0.04247185603215686,0.015662816794977164,0.13314424987705809,0.0018848811674783252
sw_009,19,7,18,5,composite_流通市值_x_bm,-1.5065040670838306,0.03723283805260857,0.01708554495419301,0.14722925046734842,0.0014453666726104767
sw_009,19,7,18,6,composite_净资产收益率_TTM_x_itgr,-1.7001556858872717,0.03804710027800193,0.01872880798078347,0.15829933129573703,0.001671827103726795
sw_009,19,7,18,7,composite_销售毛利率_TTM_x_m2gr,-1.3948030401645148,0.03222065211829585,0.019869513096691938,0.1617230067167807,0.0011624769229810479
sw_009,19,7,18,8,composite_市盈率PE_TTM_x_dp,-1.228939847129053,0.030654716192000286,0.020825226356100734,0.16252908698385954,0.0009750877788001877
sw_009,19,7,18,9,composite_流通市值_x_m2gr,-1.923755086876445,0.02941419494297641,0.022258067282622918,0.16612222045665015,0.0014633147882170143
sw_009,19,7,18,10,composite_经营活动产生的现金流量净额_营业利润_TTM_x_m2gr,-0.9972485471185919,0.025349446902326107,0.022898663859758916,0.16497614327908888,0.0006551796089543179
sw_009,19,7,18,11,composite_总资产报酬率_TTM_x_bm,-1.7135421136008677,0.02417698469132042,0.023947675294980764,0.1677115249704452,0.001073595333894052
sw_009,19,7,18,12,composite_市销率PS_TTM_x_ntis,-1.0800160155930953,0.025127992705218854,0.024634362203447724,0.1661423271328273,0.0007035349346403563
