experiment_id,preprocessing_method,winsorize_quantile,scaling_method,rolling_window,max_selected_features,selection_objective,refit_method,ridge_alpha,feature_corr_threshold,min_improvement,promethee_top_n,entropy_weight_method,preference_function,min_selected_count,sign_stability_threshold,hybrid_score_name,top_k,train_rankic,valid_rankic,test_rankic,valid_annualized_return,valid_sharpe,valid_alpha,valid_max_drawdown,valid_turnover,test_annualized_return,test_sharpe,test_alpha,test_max_drawdown,test_turnover,rating_separation,selected_as_final,reason,valid_score
sw_011,window_median,0.025,train_window_zscore,8,12,train_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,0.0077681910892177,0.0222494994073524,0.0464247812834806,0.2993981332509188,1.4342390406479772,0.1484178131928938,-0.0562655053430922,1.0000000000000004,-0.0483256852956183,-0.2813398729402072,-0.0631947870354735,-0.0389072600774091,0.9000000000000004,,False,,-1.999435819757451
sw_012,window_median,0.025,train_window_zscore,8,12,rolling_inner_valid_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,0.0502153448110932,0.0409327417255184,0.0147801952968119,0.2341054374852202,1.830637919751852,0.1498990743346736,-0.028055759223584,0.9625000000000004,-0.0277947189549079,-0.1503889455882195,-0.0394112552269976,-0.0255990524407927,0.9100000000000004,,False,,-1.600873996723544
sw_013,window_median,0.025,train_window_zscore,8,12,adjusted_r2_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0123368270272995,0.0291427512167128,0.0558584835465921,0.5733988658446623,6.344927813347791,0.4396666192163142,0.0,0.9500000000000004,-0.0051875194654527,-0.0321003313198708,-0.0195906494771371,-0.0590757256391251,0.8300000000000004,,False,,-1.0138755747496375
sw_014,window_median,0.025,train_window_zscore,10,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0411748277217663,0.0340060678909354,0.0159881046260236,0.8352326588731596,2.013633126841827,0.4378169906074494,-0.0552952057952258,0.8375000000000005,0.0588148056333206,0.4270086349934143,0.0432267920506018,-0.01604016460719,0.9600000000000004,,False,,-1.1475474942167485
sw_015,window_median,0.025,train_window_zscore,10,12,train_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0375667281938561,0.0216474976716373,0.050474858340009,0.8678871432464332,4.9604491572071145,0.695079718220468,0.0,0.8375000000000004,-0.0041245967015016,-0.0198084519312672,-0.0160619596219914,-0.0917128763099943,0.9700000000000004,,False,,-0.912617313633792
sw_016,window_median,0.025,train_window_zscore,10,12,rolling_inner_valid_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,0.0210918527628217,-0.0120243188630419,0.0644329770402064,0.0982310229416039,0.6034052261085119,-0.0206900637815075,-0.0788016592213242,0.8875000000000004,0.0359479414280814,0.2342781498265116,0.020453550250585,0.0,0.9300000000000004,,False,,-2.9889100111326825
sw_017,window_median,0.025,train_window_zscore,10,12,adjusted_r2_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0411748277217663,0.0340060678909354,0.0159881046260236,0.8352326588731596,2.013633126841827,0.4378169906074494,-0.0552952057952258,0.8375000000000005,0.0588148056333206,0.4270086349934143,0.0432267920506018,-0.01604016460719,0.9600000000000004,,False,,-1.1475474942167485
sw_018,window_median,0.025,train_window_zscore,12,12,train_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0512766881862843,0.0920668203954711,0.0331482588046086,0.2674829894453072,2.837089814356061,0.1719103566281173,0.0,0.8125000000000003,-0.0182812665849594,-0.0861341786011654,-0.0333885682597359,-0.0342436889935807,0.7500000000000003,,False,,-0.403646923111994
sw_019,window_median,0.025,train_window_zscore,12,12,rolling_inner_valid_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0146345731938565,0.0877523469534304,0.0673540798665904,0.5997115564838453,2.8003561330279814,0.4044105965230484,0.0,0.9625000000000004,0.0977486182237483,0.6442682533961098,0.0826496144024096,0.0,0.9800000000000004,,False,,-0.1598966293502916
sw_020,window_median,0.025,train_window_zscore,12,12,adjusted_r2_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0350988510957894,-0.0047633593278096,0.0673091378410231,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196662582724394
sw_021,window_median,0.025,train_window_zscore,16,12,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.1033957383032015,0.00672161098918,0.0766195130714406,0.0705061340019643,0.5217085490069574,0.1892847104250767,-0.0423406213486032,0.7875000000000003,0.0221353701851569,0.1735044483227505,0.0079977976475903,-0.0252593069012202,0.8800000000000004,,False,,-2.4682686057999144
sw_022,window_median,0.025,train_window_zscore,16,12,train_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0499628864642856,-0.0399806514728901,0.0232701490994691,0.3058444303792211,0.831985624734881,0.0343367469699513,-0.1432583842527823,0.9500000000000004,-0.0089557632233921,-0.071082873933419,-0.0220826007052389,-0.0159325494165383,0.7900000000000004,,False,,-3.4319360896565425
sw_023,window_median,0.025,train_window_zscore,16,12,rolling_inner_valid_rankic_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0920718373145403,-0.0287821489135226,0.0920876749938231,0.0819009733230751,0.395496092090783,-0.0625354194850231,-0.0805206147577265,0.9750000000000004,-0.0106519032828066,-0.0631127966157136,-0.0255801665226792,-0.0589997774587303,0.9400000000000006,,False,,-3.39252862797594
sw_024,window_median,0.025,train_window_zscore,16,12,adjusted_r2_gain,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.1033957383032015,0.00672161098918,0.0766195130714406,0.0705061340019643,0.5217085490069574,0.1892847104250767,-0.0423406213486032,0.7875000000000003,0.0221353701851569,0.1735044483227505,0.0079977976475903,-0.0252593069012202,0.8800000000000004,,False,,-2.4682686057999144
sw_025,window_median,0.025,train_window_zscore,12,5,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.050363319717589,-0.0875773268330485,0.0088207517976178,-0.1477658094407155,-0.9191480147852532,-0.2785582733921525,-0.1492965631163632,0.8250000000000003,0.0838765099921134,0.4530700133789877,0.065465549871731,-0.0246917146273716,0.9500000000000004,,False,,-5.000690959265116
sw_026,window_median,0.025,train_window_zscore,12,8,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0624415885528758,-0.1021839016578445,0.0472911017397324,-0.0740315846441593,-0.4070517424659769,-0.1967328049426344,-0.1427021150062144,0.6875000000000002,0.0540130192165371,0.2912271130903398,0.0370980392906238,-0.032438520984,0.9500000000000004,,False,,-5.115482230998164
sw_027,window_median,0.025,train_window_zscore,12,10,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0418630949602745,-0.0431644145072337,0.0815489588312055,0.1381277830585972,1.9821905286384904,0.1103940374373604,0.0,0.6875000000000002,-0.00692547520538,-0.0329153155322086,-0.0217565541830464,-0.0799933244442597,0.9700000000000004,,False,,-3.260462538496437
sw_028,window_median,0.025,train_window_zscore,12,15,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0305353162343585,0.0206175870835434,0.0688581920009456,0.4626231408765551,1.519505208727717,0.2582659442822824,-0.0315149185151483,0.7750000000000004,0.0406465284178931,0.2122068940079633,0.0242999791436243,-0.0298771487117157,0.9700000000000004,,False,,-1.777829991798077
sw_029,window_median,0.025,train_window_zscore,12,20,residual_correlation,OLS,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0343722156897135,0.0176306470724606,0.0445695109922971,0.4092115649037209,1.1615179900317418,0.2008864684614482,-0.0593164706306846,0.9125000000000004,0.0077448453000668,0.0384097114843848,-0.0077651591237182,-0.0613573417010016,0.9600000000000004,,False,,-1.9949124742169304
sw_030,window_median,0.025,train_window_zscore,12,12,residual_correlation,Ridge,0.01,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0350981797080266,-0.004763671010555,0.0673101967312894,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196724408438187
sw_031,window_median,0.025,train_window_zscore,12,12,residual_correlation,Ridge,0.1,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0350981009791085,-0.0047600638023234,0.0673096506631097,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196008878858827
sw_032,window_median,0.025,train_window_zscore,12,12,residual_correlation,Ridge,1.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0350962341146943,-0.0047483699850734,0.0673104543892105,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.519368928109768
sw_033,window_median,0.025,train_window_zscore,12,12,residual_correlation,Ridge,10.0,0.9,0.0001,,none,none,,,pure_stagewise_score,20,-0.0307493670958589,0.0039655963924922,0.0673466378494204,0.2170100047070828,1.9780181433868984,0.1426567453071068,-0.0208671712501686,0.7875000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.2955172722276016
sw_034,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.0,,none,none,,,pure_stagewise_score,20,-0.0350988510957894,-0.0047633593278096,0.0673091378410231,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196662582724394
sw_035,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.9,1e-05,,none,none,,,pure_stagewise_score,20,-0.0350988510957894,-0.0047633593278096,0.0673091378410231,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196662582724394
sw_036,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.9,0.001,,none,none,,,pure_stagewise_score,20,-0.0350988510957894,-0.0047633593278096,0.0673091378410231,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,0.0437004479607203,0.2141224557878824,0.0269593582686864,-0.0243069008650965,0.9600000000000004,,False,,-2.5196662582724394
sw_037,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.85,0.0001,,none,none,,,pure_stagewise_score,20,-0.0192925622149597,0.0044761220407158,0.0657357824911849,0.5662045734593215,1.8946124523955936,0.3112226976256513,-0.0208671712501686,0.7000000000000003,-0.0217684418401667,-0.0979709647908069,-0.0361644993633822,-0.0999271716715221,0.9700000000000004,,False,,-1.9371677277532835
sw_038,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,0.95,0.0001,,none,none,,,pure_stagewise_score,20,-0.0125941403830824,-0.0047633593278096,0.063222989464681,0.1778096550009187,1.9901096108226448,0.1069183947303695,-0.0208671712501686,0.8125000000000003,-0.0240964846789907,-0.1091273069656484,-0.0386133328760174,-0.0999271716715222,0.9600000000000004,,False,,-2.5196662582724394
sw_039,window_median,0.025,train_window_zscore,12,12,residual_correlation,OLS,1.0,,0.0001,,none,none,,,pure_stagewise_score,20,-0.0122155290312907,-0.0030567611691977,0.0723515784749271,0.3304342870889489,1.980158948074744,0.1601963254755891,-0.0208671712501686,0.7625000000000003,0.0398305961074421,0.2026423784940994,0.0233970893041128,-0.0186926942851377,0.9700000000000004,,False,,-2.3402247202109705
sw_009,window_median,0.05,quarter_rank,12,12,residual_correlation,OLS,1.0,0.9,0.0001,10.0,normal,usual,2.0,0.55,pure_stagewise_score,10,-0.0389517192624653,0.1371290048473518,0.064884644319539,0.4721295862570331,4.407382296588574,0.4125178665776939,0.0,0.9500000000000002,0.0614042728066412,0.5805235141784749,0.053573084444649,-0.06098902376635,0.7800000000000001,5.496216061711214,False,,0.9451484893903316
